MONTH,DAY,DAY_OF_WEEK,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,DISTANCE,SCHEDULED_TIME,ARRIVAL_DELAY,IS_DELAYED,MONTH_SCALED,DAY_SCALED,DAY_OF_WEEK_SCALED,SCHEDULED_DEPARTURE_SCALED,DEPARTURE_DELAY_SCALED,DISTANCE_SCALED,SCHEDULED_TIME_SCALED
1,1,4,5,-11.0,1448,205,-22.0,0,0.0,-1.2807,-1.2807,-2.6316,-0.6518,0.9544,0.7609
1,1,4,10,-8.0,2330,280,-9.0,0,0.0,-1.2807,-1.2807,-2.6215,-0.5782,2.3811,1.7319
1,1,4,20,-2.0,2296,286,5.0,0,0.0,-1.2807,-1.2807,-2.6011,-0.4308,2.3261,1.8096
1,1,4,20,-5.0,2342,285,-9.0,0,0.0,-1.2807,-1.2807,-2.6011,-0.5045,2.4005,1.7967
1,1,4,25,-1.0,1448,235,-21.0,0,0.0,-1.2807,-1.2807,-2.5909,-0.4062,0.9544,1.1493
1,1,4,25,-5.0,1589,217,8.0,0,0.0,-1.2807,-1.2807,-2.5909,-0.5045,1.1824,0.9163
1,1,4,25,-6.0,1299,181,-17.0,0,0.0,-1.2807,-1.2807,-2.5909,-0.529,0.7133,0.4502
1,1,4,30,14.0,2125,273,-10.0,0,0.0,-1.2807,-1.2807,-2.5807,-0.0377,2.0495,1.6413
1,1,4,30,-11.0,1464,195,-13.0,0,0.0,-1.2807,-1.2807,-2.5807,-0.6518,0.9802,0.6314
1,1,4,30,3.0,1747,221,-15.0,0,0.0,-1.2807,-1.2807,-2.5807,-0.3079,1.438,0.968
1,1,4,30,-6.0,1199,173,-30.0,0,0.0,-1.2807,-1.2807,-2.5807,-0.529,0.5516,0.3466
1,1,4,35,-8.0,2174,268,-10.0,0,0.0,-1.2807,-1.2807,-2.5706,-0.5782,2.1287,1.5766
1,1,4,35,0.0,1535,214,-4.0,0,0.0,-1.2807,-1.2807,-2.5706,-0.3816,1.0951,0.8774
1,1,4,40,-6.0,1590,215,-22.0,0,0.0,-1.2807,-1.2807,-2.5604,-0.529,1.1841,0.8904
1,1,4,40,-1.0,1399,189,8.0,0,0.0,-1.2807,-1.2807,-2.5604,-0.4062,0.8751,0.5537
1,1,4,45,-4.0,1448,204,-14.0,0,0.0,-1.2807,-1.2807,-2.5502,-0.4799,0.9544,0.748
1,1,4,45,-14.0,1448,210,-24.0,0,0.0,-1.2807,-1.2807,-2.5502,-0.7255,0.9544,0.8256
1,1,4,48,-6.0,1635,218,-7.0,0,0.0,-1.2807,-1.2807,-2.5441,-0.529,1.2568,0.9292
1,1,4,50,-4.0,1542,215,-18.0,0,0.0,-1.2807,-1.2807,-2.54,-0.4799,1.1064,0.8904
1,1,4,50,-5.0,1426,193,-12.0,0,0.0,-1.2807,-1.2807,-2.54,-0.5045,0.9188,0.6055
1,1,4,55,25.0,1139,162,6.0,0,0.0,-1.2807,-1.2807,-2.5299,0.2325,0.4545,0.2042
1,1,4,100,-8.0,2724,338,1.0,0,0.0,-1.2807,-1.2807,-2.4383,-0.5782,3.0184,2.4828
1,1,4,103,-1.0,1055,147,-1.0,0,0.0,-1.2807,-1.2807,-2.4322,-0.4062,0.3186,0.01
1,1,4,105,-2.0,2342,286,-12.0,0,0.0,-1.2807,-1.2807,-2.4281,-0.4308,2.4005,1.8096
1,1,4,105,-3.0,1299,183,-23.0,0,0.0,-1.2807,-1.2807,-2.4281,-0.4553,0.7133,0.4761
1,1,4,115,-3.0,1379,183,-11.0,0,0.0,-1.2807,-1.2807,-2.4077,-0.4553,0.8427,0.4761
1,1,4,115,-8.0,1533,213,-3.0,0,0.0,-1.2807,-1.2807,-2.4077,-0.5782,1.0919,0.8645
1,1,4,115,12.0,1487,207,25.0,1,0.0,-1.2807,-1.2807,-2.4077,-0.0869,1.0174,0.7868
1,1,4,120,-10.0,1916,245,-31.0,0,0.0,-1.2807,-1.2807,-2.3976,-0.6273,1.7114,1.2788
1,1,4,120,21.0,1709,227,2.0,0,0.0,-1.2807,-1.2807,-2.3976,0.1342,1.3765,1.0457
1,1,4,125,72.0,1440,204,43.0,1,0.0,-1.2807,-1.2807,-2.3874,1.387,0.9414,0.748
1,1,4,127,-11.0,1972,239,-16.0,0,0.0,-1.2807,-1.2807,-2.3833,-0.6518,1.802,1.2011
1,1,4,140,-6.0,1590,215,10.0,0,0.0,-1.2807,-1.2807,-2.3568,-0.529,1.1841,0.8904
1,1,4,144,-4.0,1222,170,-4.0,0,0.0,-1.2807,-1.2807,-2.3487,-0.4799,0.5888,0.3078
1,1,4,145,0.0,2762,370,15.0,1,0.0,-1.2807,-1.2807,-2.3467,-0.3816,3.0799,2.8972
1,1,4,152,-9.0,2552,323,-10.0,0,0.0,-1.2807,-1.2807,-2.3324,-0.6027,2.7402,2.2886
1,1,4,154,3.0,1608,255,-11.0,0,0.0,-1.2807,-1.2807,-2.3284,-0.3079,1.2132,1.4082
1,1,4,155,-15.0,1448,218,-35.0,0,0.0,-1.2807,-1.2807,-2.3263,-0.7501,0.9544,0.9292
1,1,4,155,-2.0,1598,235,11.0,0,0.0,-1.2807,-1.2807,-2.3263,-0.4308,1.197,1.1493
1,1,4,155,-16.0,1334,208,-33.0,0,0.0,-1.2807,-1.2807,-2.3263,-0.7747,0.77,0.7997
1,1,4,159,-1.0,868,123,1.0,0,0.0,-1.2807,-1.2807,-2.3182,-0.4062,0.0162,-0.3008
1,1,4,200,-10.0,1542,210,-11.0,0,0.0,-1.2807,-1.2807,-2.2347,-0.6273,1.1064,0.8256
1,1,4,200,-5.0,1176,184,-11.0,0,0.0,-1.2807,-1.2807,-2.2347,-0.5045,0.5144,0.489
1,1,4,206,-14.0,1608,246,4.0,0,0.0,-1.2807,-1.2807,-2.2225,-0.7255,1.2132,1.2917
1,1,4,220,-11.0,1773,224,-36.0,0,0.0,-1.2807,-1.2807,-2.194,-0.6518,1.4801,1.0069
1,1,4,220,-11.0,1448,200,-12.0,0,0.0,-1.2807,-1.2807,-2.194,-0.6518,0.9544,0.6962
1,1,4,255,-7.0,1179,185,-9.0,0,0.0,-1.2807,-1.2807,-2.1228,-0.5536,0.5192,0.502
1,1,4,259,-1.0,1585,240,6.0,0,0.0,-1.2807,-1.2807,-2.1146,-0.4062,1.176,1.214
1,1,4,307,-3.0,1129,173,20.0,1,0.0,-1.2807,-1.2807,-2.0169,-0.4553,0.4384,0.3466
1,1,4,330,-14.0,1674,245,-16.0,0,0.0,-1.2807,-1.2807,-1.9701,-0.7255,1.3199,1.2788
1,1,4,400,95.0,1189,185,85.0,1,0.0,-1.2807,-1.2807,-1.8276,1.952,0.5354,0.502
1,1,4,419,4.0,1129,174,-7.0,0,0.0,-1.2807,-1.2807,-1.789,-0.2834,0.4384,0.3595
1,1,4,424,-11.0,1179,186,-1.0,0,0.0,-1.2807,-1.2807,-1.7788,-0.6518,0.5192,0.5149
1,1,4,438,72.0,1666,241,89.0,1,0.0,-1.2807,-1.2807,-1.7503,1.387,1.307,1.227
1,1,4,500,-1.0,1440,228,3.0,0,0.0,-1.2807,-1.2807,-1.6241,-0.4062,0.9414,1.0587
1,1,4,500,-4.0,224,70,0.0,0,0.0,-1.2807,-1.2807,-1.6241,-0.4799,-1.0256,-0.9869
1,1,4,500,-8.0,216,49,-6.0,0,0.0,-1.2807,-1.2807,-1.6241,-0.5782,-1.0385,-1.2588
1,1,4,500,13.0,363,89,9.0,0,0.0,-1.2807,-1.2807,-1.6241,-0.0623,-0.8007,-0.741
1,1,4,502,-1.0,163,42,5.0,0,0.0,-1.2807,-1.2807,-1.62,-0.4062,-1.1242,-1.3495
1,1,4,505,-8.0,1448,205,-14.0,0,0.0,-1.2807,-1.2807,-1.6139,-0.5782,0.9544,0.7609
1,1,4,505,-11.0,100,36,-11.0,0,0.0,-1.2807,-1.2807,-1.6139,-0.6518,-1.2261,-1.4271
1,1,4,510,4.0,925,175,11.0,0,0.0,-1.2807,-1.2807,-1.6037,-0.2834,0.1084,0.3725
1,1,4,510,-3.0,192,63,-11.0,0,0.0,-1.2807,-1.2807,-1.6037,-0.4553,-1.0773,-1.0776
1,1,4,510,-4.0,738,140,-10.0,0,0.0,-1.2807,-1.2807,-1.6037,-0.4799,-0.1941,-0.0807
1,1,4,510,-10.0,174,68,0.0,0,0.0,-1.2807,-1.2807,-1.6037,-0.6273,-1.1064,-1.0128
1,1,4,510,-2.0,257,69,-4.0,0,0.0,-1.2807,-1.2807,-1.6037,-0.4308,-0.9722,-0.9999
1,1,4,515,-5.0,1107,165,-2.0,0,0.0,-1.2807,-1.2807,-1.5936,-0.5045,0.4028,0.243
1,1,4,515,108.0,1121,161,102.0,1,0.0,-1.2807,-1.2807,-1.5936,2.2714,0.4254,0.1912
1,1,4,515,-5.0,1258,208,2.0,0,0.0,-1.2807,-1.2807,-1.5936,-0.5045,0.647,0.7997
1,1,4,515,2.0,984,178,13.0,0,0.0,-1.2807,-1.2807,-1.5936,-0.3325,0.2038,0.4113
1,1,4,520,60.0,1009,150,60.0,1,0.0,-1.2807,-1.2807,-1.5834,1.0922,0.2442,0.0488
1,1,4,520,58.0,964,141,54.0,1,0.0,-1.2807,-1.2807,-1.5834,1.0431,0.1714,-0.0677
1,1,4,520,-9.0,456,103,-6.0,0,0.0,-1.2807,-1.2807,-1.5834,-0.6027,-0.6503,-0.5597
1,1,4,520,-3.0,308,74,-5.0,0,0.0,-1.2807,-1.2807,-1.5834,-0.4553,-0.8897,-0.9352
1,1,4,520,-6.0,250,66,-15.0,0,0.0,-1.2807,-1.2807,-1.5834,-0.529,-0.9835,-1.0387
1,1,4,520,5.0,522,112,3.0,0,0.0,-1.2807,-1.2807,-1.5834,-0.2588,-0.5435,-0.4432
1,1,4,520,-3.0,199,60,9.0,0,0.0,-1.2807,-1.2807,-1.5834,-0.4553,-1.066,-1.1164
1,1,4,523,-10.0,102,37,-12.0,0,0.0,-1.2807,-1.2807,-1.5773,-0.6273,-1.2229,-1.4142
1,1,4,525,0.0,214,65,5.0,0,0.0,-1.2807,-1.2807,-1.5732,-0.3816,-1.0417,-1.0517
1,1,4,530,2.0,1325,230,6.0,0,0.0,-1.2807,-1.2807,-1.563,-0.3325,0.7554,1.0846
1,1,4,530,4.0,991,142,4.0,0,0.0,-1.2807,-1.2807,-1.563,-0.2834,0.2151,-0.0548
1,1,4,530,-1.0,1024,157,-1.0,0,0.0,-1.2807,-1.2807,-1.563,-0.4062,0.2685,0.1394
1,1,4,530,53.0,641,125,66.0,1,0.0,-1.2807,-1.2807,-1.563,0.9203,-0.351,-0.2749
1,1,4,530,-3.0,84,55,-14.0,0,0.0,-1.2807,-1.2807,-1.563,-0.4553,-1.252,-1.1812
1,1,4,530,-4.0,861,160,-18.0,0,0.0,-1.2807,-1.2807,-1.563,-0.4799,0.0048,0.1783
1,1,4,530,-4.0,1182,188,-25.0,0,0.0,-1.2807,-1.2807,-1.563,-0.4799,0.5241,0.5408
1,1,4,530,-4.0,996,163,13.0,0,0.0,-1.2807,-1.2807,-1.563,-0.4799,0.2232,0.2171
1,1,4,531,19.0,967,146,26.0,1,0.0,-1.2807,-1.2807,-1.561,0.0851,0.1763,-0.003
1,1,4,533,7.0,888,167,3.0,0,0.0,-1.2807,-1.2807,-1.5569,-0.2097,0.0485,0.2689
1,1,4,535,6.0,1190,207,14.0,0,0.0,-1.2807,-1.2807,-1.5529,-0.2342,0.537,0.7868
1,1,4,535,-5.0,301,88,-15.0,0,0.0,-1.2807,-1.2807,-1.5529,-0.5045,-0.901,-0.7539
1,1,4,535,-7.0,273,85,-25.0,0,0.0,-1.2807,-1.2807,-1.5529,-0.5536,-0.9463,-0.7927
1,1,4,535,43.0,1598,225,19.0,1,0.0,-1.2807,-1.2807,-1.5529,0.6746,1.197,1.0198
1,1,4,535,-12.0,201,61,-21.0,0,0.0,-1.2807,-1.2807,-1.5529,-0.6764,-1.0628,-1.1035
